Drug Name,Cell Line Name,TCGA Classification,IC50 (uM)
Camptothecin,PFSK-1,MB,-1.463887373
Camptothecin,A673,UNCLASSIFIED,-4.869454835
Camptothecin,ES5,UNCLASSIFIED,-3.360585633
Camptothecin,ES7,UNCLASSIFIED,-5.044940398
Camptothecin,EW-11,UNCLASSIFIED,-3.741991095
Camptothecin,SK-ES-1,UNCLASSIFIED,-5.142960599
Camptothecin,COLO-829,SKCM,-1.235034018
Camptothecin,5637,BLCA,-2.632631991
Camptothecin,RT4,BLCA,-2.963191239
Camptothecin,SW780,BLCA,-1.449138192
Camptothecin,TCCSUP,BLCA,-2.350633313
Camptothecin,C-33-A,CESC,-3.380879192
Camptothecin,C-4-I,CESC,-2.255689784
Camptothecin,ME-180,CESC,-3.223910403
Camptothecin,42-MG-BA,GBM,-3.400220414
Camptothecin,8-MG-BA,GBM,-4.256285833
Camptothecin,A172,GBM,-2.999552153
Camptothecin,GB-1,GBM,-3.055500415
Camptothecin,T98G,GBM,-2.060218343
Camptothecin,U-118-MG,GBM,-3.354018386
Camptothecin,U-87-MG,GBM,-2.450870356
Camptothecin,YKG-1,GBM,-2.784358761
Camptothecin,ChaGo-K-1,UNCLASSIFIED,0.528844677
Camptothecin,NCI-H720,UNCLASSIFIED,0.532791903
Camptothecin,Calu-3,LUAD,-1.629545608
Camptothecin,COR-L23,UNCLASSIFIED,-1.762080344
Camptothecin,LK-2,LUSC,-1.157606575
Camptothecin,NCI-H1437,LUAD,-1.83952405
Camptothecin,NCI-H1623,LUAD,-4.13594373
Camptothecin,NCI-H1648,LUAD,-1.962264769
Camptothecin,NCI-H1650,LUAD,0.133023742
Camptothecin,NCI-H1693,LUAD,0.121965203
Camptothecin,NCI-H1770,UNCLASSIFIED,-0.675672465
Camptothecin,NCI-H1838,LUAD,0.690984712
Camptothecin,NCI-H2085,LUAD,0.57866616
Camptothecin,NCI-H2170,LUSC,-3.956193452
Camptothecin,NCI-H2228,LUAD,-2.713363264
Camptothecin,NCI-H2342,LUAD,-0.11628454
Camptothecin,NCI-H2347,LUAD,0.387214219
Camptothecin,NCI-H2405,LUAD,-0.550942051
Camptothecin,NCI-H661,UNCLASSIFIED,-0.595181115
Camptothecin,COR-L311,SCLC,-4.507047515
Camptothecin,DMS-114,SCLC,-1.097768092
Camptothecin,DMS-273,SCLC,-2.648304021
Camptothecin,NCI-H1048,SCLC,-4.366197164
Camptothecin,NCI-H1092,SCLC,-0.639441964
Camptothecin,NCI-H1694,SCLC,-3.842493077
Camptothecin,NCI-H1963,SCLC,-3.298397268
Camptothecin,NCI-H2029,SCLC,-1.771595431
Camptothecin,NCI-H209,SCLC,-5.422094567
Camptothecin,NCI-H2141,SCLC,-1.400353095
Camptothecin,NCI-H2171,SCLC,-4.038663545
Camptothecin,NCI-H2227,SCLC,-3.735165671
Camptothecin,NCI-H345,SCLC,1.049560641
Camptothecin,NCI-H446,SCLC,-2.295060179
Camptothecin,NCI-H526,SCLC,-4.845674958
Camptothecin,NCI-H64,SCLC,-0.279994588
Camptothecin,NCI-H69,SCLC,-1.457202112
Camptothecin,NCI-H82,SCLC,-2.797081152
Camptothecin,NCI-H2052,MESO,-2.287052096
Camptothecin,SK-N-DZ,NB,-3.703294715
Camptothecin,SK-N-FI,NB,-1.89443349
Camptothecin,VA-ES-BJ,UNCLASSIFIED,-3.407440269
Camptothecin,VMRC-LCD,LUAD,0.920420098
Camptothecin,LU-139,SCLC,-2.33437505
Camptothecin,SBC-5,SCLC,-3.463119973
Camptothecin,SBC-1,SCLC,-1.781323263
Camptothecin,LU-135,SCLC,-3.065965954
Camptothecin,SK-N-SH,NB,-4.350183725
Camptothecin,NCI-H2030,LUAD,0.079115805
Camptothecin,NCI-H2122,LUAD,-2.905689416
Camptothecin,NCI-H1734,LUAD,-4.054425533
Camptothecin,NCI-H650,LUAD,-2.659747619
Camptothecin,T24,BLCA,-2.717354158
Camptothecin,NCI-H929,MM,-3.516343156
Camptothecin,SK-N-AS,NB,-1.94901234
Camptothecin,NCI-H1299,UNCLASSIFIED,-1.93667219
Camptothecin,NCI-H2087,LUAD,-2.692532941
Camptothecin,UM-UC-3,BLCA,-3.731845756
Camptothecin,SW756,CESC,-2.675867053
Camptothecin,NCI-H727,UNCLASSIFIED,1.058315595
Camptothecin,Calu-6,LUAD,-1.928528343
Camptothecin,LU-65,UNCLASSIFIED,-2.260706831
Camptothecin,NCI-H1355,LUAD,0.68602762
Camptothecin,NCI-H1792,LUAD,-3.232332547
Camptothecin,HPAF-II,PAAD,-0.193369723
Camptothecin,MIA-PaCa-2,PAAD,-2.91987087
Camptothecin,SHP-77,SCLC,-1.346215002
Camptothecin,NCI-H2009,LUAD,-2.622641038
Camptothecin,NCI-H2291,LUAD,0.492346469
Camptothecin,SW1573,LUAD,-2.525462202
Camptothecin,TE-5,ESCA,-2.556499905
Camptothecin,HCC1954,BRCA,0.317741069
Camptothecin,HCC1143,BRCA,0.63618414
Camptothecin,HCC1187,BRCA,1.235544347
Camptothecin,HCC1395,BRCA,-2.255899002
Camptothecin,HCC1599,BRCA,-3.247021113
Camptothecin,HCC1937,BRCA,0.134453538
Camptothecin,HCC2157,BRCA,-2.655608673
Camptothecin,HCC2218,BRCA,1.057381685
Camptothecin,HCC38,BRCA,-1.699764349
Camptothecin,BB30-HNC,HNSC,-4.016599254
Camptothecin,BB49-HNC,HNSC,-2.024280421
Camptothecin,BB65-RCC,KIRC,-2.036409628
Camptothecin,BEN,UNCLASSIFIED,0.392462124
Camptothecin,BHY,HNSC,-2.081150482
Camptothecin,Ca9-22,HNSC,-3.523804533
Camptothecin,CADO-ES1,UNCLASSIFIED,-5.044389569
Camptothecin,CAL-12T,UNCLASSIFIED,-0.769259956
Camptothecin,CAL-33,HNSC,-3.711201336
Camptothecin,CP50-MEL-B,SKCM,-2.036013618
Camptothecin,CP66-MEL,SKCM,-0.69238821
Camptothecin,CPC-N,SCLC,-1.508311868
Camptothecin,CTV-1,LAML,-4.32445717
Camptothecin,D-542MG,GBM,0.839414135
Camptothecin,DMS-79,SCLC,-3.955395343
Camptothecin,DSH1,BLCA,-2.936428348
Camptothecin,EBC-1,LUSC,-4.232910697
Camptothecin,EC-GI-10,ESCA,-3.12601113
Camptothecin,EPLC-272H,LUSC,-0.478972816
Camptothecin,HA7-RCC,KIRC,-2.764419665
Camptothecin,HCE-4,ESCA,-3.535897707
Camptothecin,HO-1-u-1,HNSC,-1.717439501
Camptothecin,HSC-2,HNSC,-4.336129692
Camptothecin,IM-9,MM,-5.302441006
Camptothecin,IST-SL1,SCLC,-2.067312394
Camptothecin,IST-SL2,SCLC,-4.325806243
Camptothecin,J82,BLCA,-3.044852773
Camptothecin,KNS-62,LUSC,-1.864321366
Camptothecin,KOSC-2,HNSC,-3.099967973
Camptothecin,KP-4,PAAD,-3.278772064
Camptothecin,KYSE-140,ESCA,-0.405425074
Camptothecin,KYSE-410,ESCA,0.597601681
Camptothecin,KYSE-520,ESCA,1.801563858
Camptothecin,KYSE-70,ESCA,0.927629921
Camptothecin,LB1047-RCC,KIRC,-2.587612039
Camptothecin,LB2241-RCC,KIRC,-3.440496758
Camptothecin,LB2518-MEL,SKCM,-0.816836763
Camptothecin,LB373-MEL-D,SKCM,-0.14909222
Camptothecin,LB647-SCLC,SCLC,-2.585879383
Camptothecin,LB771-HNC,HNSC,0.276229112
Camptothecin,LB831-BLC,BLCA,-2.798452124
Camptothecin,LB996-RCC,KIRC,-4.159030907
Camptothecin,LCLC-103H,UNCLASSIFIED,-0.942810552
Camptothecin,LU-134-A,SCLC,-4.677125145
Camptothecin,LU-165,SCLC,-0.867832369
Camptothecin,LXF-289,LUAD,-1.865582974
Camptothecin,MS-1,SCLC,-2.424571495
Camptothecin,MZ1-PC,PAAD,-0.418000521
Camptothecin,MZ7-mel,SKCM,-1.591164467
Camptothecin,NCI-H1563,LUAD,-0.082433391
Camptothecin,NCI-H292,UNCLASSIFIED,-3.75835938
Camptothecin,NCI-H510A,SCLC,-2.583512354
Camptothecin,NCI-H835,UNCLASSIFIED,0.066058191
Camptothecin,PC-14,LUAD,-2.260970883
Camptothecin,SBC-3,SCLC,-4.755313081
Camptothecin,SK-MM-2,MM,-2.354589216
Camptothecin,TE-15,ESCA,-3.789602865
Camptothecin,U-266,MM,-0.198116565
Camptothecin,BE2-M17,NB,-2.962427223
Camptothecin,KELLY,NB,-4.104360587
Camptothecin,SIMA,NB,-4.359836841
Camptothecin,TE-1,ESCA,-1.382275227
Camptothecin,TE-10,ESCA,-3.215452923
Camptothecin,TE-8,ESCA,-1.706924292
Camptothecin,CAPAN-1,PAAD,-3.147629332
Camptothecin,OVCAR-3,OV,-1.179383411
Camptothecin,PC-3,PRAD,-1.796951411
Camptothecin,DU-145,PRAD,-2.918755314
Camptothecin,HCT-116,COREAD,-2.985802408
